Quale dinosauro è noto per avere tre corna sul cranio?,Triceratops,Stegosaurus,Tyrannosaurus rex,Brachiosaurus,Triceratops
Qual è il dinosauro più grande mai scoperto?,Argentinosaurus,Tyrannosaurus rex,Spinosaurus,Stegosaurus,Argentinosaurus
Qual è il nome del dinosauro con il collo più lungo?,Brachiosaurus,Allosaurus,Parasaurolophus,Iguanodon,Brachiosaurus
Chi è stato il primo paleontologo a descrivere un dinosauro?,Richard Owen,Mary Anning,Alan Grant,Robert Bakker,Richard Owen
In quale periodo geologico comparvero per la prima volta i dinosauri?,Triassico,Giurassico,Cretaceo,Carbonifero,Triassico
Quale dinosauro era noto per il suo cranio appuntito e cresta?,Dilophosaurus,Styracosaurus,Triceratops,Tyrannosaurus rex,Dilophosaurus
Qual è il nome dell'uccello fossile considerato un dinosauro?,Archaeopteryx,Velociraptor,Pteranodon,Deinonychus,Archaeopteryx
Quale dinosauro era probabilmente il più veloce?,Velociraptor,Tyrannosaurus rex,Stegosaurus,Brachiosaurus,Velociraptor
Quale dinosauro aveva una corazza ossea sul suo dorso?,Ankylosaurus,Parasaurolophus,Spinosaurus,Triceratops,Ankylosaurus
In quale continente sono stati scoperti molti fossili di dinosauri?,America,Africa,Asia,Europa,America
Quale dinosauro era noto per il suo lungo collo e la testa appuntita?,Apatosaurus,Allosaurus,Stegosaurus,Triceratops,Apatosaurus
Quale dinosauro aveva corna sopra gli occhi e un collare osseo intorno al collo?,Styracosaurus,Parasaurolophus,Triceratops,Brachiosaurus,Styracosaurus
Qual è il nome del gruppo di dinosauri bipedi erbivori noti per il becco da pappagallo?,Ornithopoda,Sauropoda,Theropoda,Ankylosauria,Ornithopoda
Quale dinosauro aveva una grande cresta sulla testa?,Parasaurolophus,Stegosaurus,Triceratops,Tyrannosaurus rex,Parasaurolophus
Quale dinosauro era noto per le sue zampe posteriori lunghe e artigli affilati?,Deinonychus,Tyrannosaurus rex,Stegosaurus,Brachiosaurus,Deinonychus
Quale dinosauro aveva denti a forma di foglia?,Iguanodon,Spinosaurus,Tyrannosaurus rex,Brachiosaurus,Iguanodon
Quale dinosauro volava e aveva piume?,Microraptor,Pteranodon,Dimetrodon,Archaeopteryx,Microraptor
Quale dinosauro aveva una testa a forma di cupola e un collare osseo attorno al collo?,Pachycephalosaurus,Triceratops,Tyrannosaurus rex,Brachiosaurus,Pachycephalosaurus
Quale dinosauro era noto per il suo lungo collo e il cranio simile a un martello?,Stegosaurus,Ankylosaurus,Parasaurolophus,Pachycephalosaurus,Pachycephalosaurus
Qual è il nome del periodo geologico in cui i dinosauri si estinsero?,Cretaceo,Triassico,Giurassico,Quaternario,Cretaceo
Quale dinosauro era noto per la sua grande vela dorsale?,Spinosaurus,Stegosaurus,Tyrannosaurus rex,Brachiosaurus,Spinosaurus
Qual è il nome della teoria che spiega l'estinzione dei dinosauri?,Teoria dell'impatto,Teoria della deriva dei continenti,Teoria dell'evoluzione,Teoria della selezione naturale,Teoria dell'impatto
Quale dinosauro era noto per i suoi artigli enormi sulle zampe anteriori?,Deinonychus,Velociraptor,Tyrannosaurus rex,Stegosaurus,Deinonychus
Quale dinosauro era noto per il suo lungo collo e la testa a forma di clava?,Brachiosaurus,Parasaurolophus,Stegosaurus,Tyrannosaurus rex,Parasaurolophus
