Qual e' lo studio dei fossili?,Archeologia,Paleontologia,Geologia,Biologia,Paleontologia
Cosa studiano i paleontologi?,Ossa,Uccelli,Fiori,Insetti,Ossa
Qual e' il periodo geologico pi� recente?,Triassico,Giurassico,Cretaceo,Quaternario,Quaternario
"Cosa indica il termine ""estinzione di massa"" nella paleontologia?,Cambiamenti climatici,Evoluzione rapida,Perdita di habitat,Perdita di molte specie,Perdita di molte specie"
Cos'e' un ammonite?,Pianta,Insetto,Artropode,Cefalopode,Cefalopode
Qual e' l'era precedente al Cenozoico?,Paleozoico,Mesozoico,Cenozoico,Quaternario,Paleozoico
Cosa sono i coproliti?,Fossili di uccelli,Uova di dinosauro,Feci fossilizzate,Impronte di piedi,Feci fossilizzate
Qual e' il fossile di un organismo conservato in resina?,Petrolio,Amber,Argilla,Gesso,Amber
Cos'e' un paleontologo che studia i mammiferi estinti chiamato?,Paleontologo dei mammiferi,Mammontologo,Paleontologo terziario,Paleontologo paleozoico,Paleontologo dei mammiferi
Cosa sono i trilobiti?,Insetti marini,Rettili volanti,Dinosauri,Anfibi,Insetti marini
Qual e' l'animale preistorico noto per il suo lungo collo?,Mammut,Diplodocus,Sabertooth tiger,Tyrannosaurus rex,Diplodocus
Quale periodo geologico segue il Cretaceo?,Triassico,Giurassico,Paleogene,Neogene,Paleogene
Qual e' la principale fonte di informazioni sui dinosauri?,Fossili di uova,Fossili di piume,Fossili di impronte,Fossili di ossa,Fossili di ossa
Cosa e' un foraminifero?,Protozoo marino,Granchio preistorico,Dinosauro volante,Pesciolino fossile,Protozoo marino
Quale era il nome della superterra durante il periodo Paleozoico?,Gondwana,Pangaea,Laurasia,Tethys,Pangaea
Cosa e' l'erosione fossilizzante?,Processo di fossilizzazione,Rimozione dei fossili dal sito,Trasformazione di fossili in pietra,Distruzione dei fossili,Distruzione dei fossili
Qual e' la disciplina che studia le impronte fossili?,Ichnologia,Paleontologia botanica,Tafonomia,Paleoclimatologia,Ichnologia
Cosa e' l'epoca geologica attuale?,Holocene,Pliocene,Miocene,Oligocene,Holocene
Qual era il nome del primo essere vivente sulla Terra?,Dinosauro,Archaea,Batteri,Ammonite,Batteri
Quale tipo di fossilizzazione coinvolge la sostituzione delle parti organiche con minerali?,Petrificazione,Impronta,Carbonizzazione,Inclusione,Petrificazione
Qual e' il processo in cui gli strati di roccia sovrastanti si consumano e rivelano i sedimenti sottostanti?,Erosione,Sedimentazione,Esposizione,Riscoperta,Esposizione
"Cosa significa il termine ""evoluzione"" nella biologia evolutiva?,Sviluppo rapido,Variazione genetica successiva,Cambiamento graduale nel tempo,Estinzione di massa,Cambiamento graduale nel tempo"
Qual e' la principale fonte di fossili di invertebrati marini?,Grotte marine,Zone desertiche,Depositi di sabbia,Zone umide,Depositi di sabbia
Qual e' il principale tipo di roccia in cui si trovano i fossili?,Granito,Serpentinite,Schisto,Sedimentaria,Sedimentaria
Cosa studia la paleoecologia?,Evoluzione degli ecosistemi passati,Origine della vita,Estinzione delle specie,Genetica delle popolazioni passate,Evoluzione degli ecosistemi passati
